lat,long,Blk,Original Build Date,Number of Food Stalls,Region,Number of Market Stalls,Name,Description,Address
1.279218443,103.8466068,,1983,134,Central,1,Amoy Street Food Centre (Telok Ayer Food Centre),"Built in 1983, the two-storey food centre is located within the central business district.  Housing many well-known stalls, the centre has evolved into a favourite lunch venue for executives working near Shenton Way. Be spoilt by the choice of hawker fare at affordable prices!","National Development Building, Annex B, Telok Ayer Street, Singapore 069111"
1.320552165,103.9355391,16,12/5/1975,64,East,154,Bedok South Road Blk 16,"Located near schools, factories and housing estates in the Bedok South area, this hawker centre is an accessible hotspot for patrons looking for an economical meal.","Blk 16, Bedok South Road, Singapore 460016"
1.307336517,103.856854,166,1975,66,Central,0,Berseh Food Centre,"Located along Jalan Besar Road, Berseh Food Centre houses 66 cooked food stalls. Built in 1975, the food centre presents an added nostalgic flavour with the rows of meticulously restored pre-war shophouses surrounding it.","166, Jalan Besar, Singapore 208877"
1.345223163,103.7127998,221A/B,2/1/1976,72,West,94,Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),"Located beside Boon Lay Shopping Centre, the hawker centre at Blk 221A/B Boon Lay Place provides marketing and dining amenities for residents living in Boon Lay. Built in 1976, the centre comprises 72 cooked food stalls and 94 market stalls.","Blk 221A/B, Boon Lay Place, Singapore 641221/642221"
1.286297772,103.8044893,120,14/9/1978,88,West,0,Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre),"Opposite the Queenstown Shopping Centre, the hawker centre, also commonly known as Alexandra Food Village, is home to a number of ""yummylicious"" local dishes such as Chicken Rice, Claypot Laksa, Bak Ku Teh etc.","Blk 120, Bukit Merah Lane, Singapore 150120"
1.305765378,103.863891,861,1973,37,Central,82,North Bridge Road Market,Originally built in 1973 as a two-storey building. North Bridge Road Market was converted into a single-storey hawker centre after its upgrading in 2005. The centre now comprises 37 cooked food stalls and 82 market stalls.,"861, North Bridge Road, Singapore 198783"
1.308251563,103.8858332,51,17/2/1973,168,East,54,Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall),"The renowned Blk 51 Old Airport Road is famed for its excellent yet affordable food. Built in 1973, it consists of 168 cooked food stalls on the ground level and 54 lock-up stalls on the second level. The large number of cooked food stalls serve up an amazing array of cuisines, from local hawker fare to international food. Get thrilled by the gastronomic experience offered by the numerous stalls!","Blk 51, Old Airport Road, Singapore 390051"
1.326449922,103.8850435,79/79A,31/3/1971,106,East,0,Circuit Road Blk 79/79A,"Built in 1971, the hawker centre is sited beside the Pelton Canal in Paya Lebar. One of the three hawker centres at Ciruit Road, the centre comprises 106 cooked food stalls. After upgrading in 2010, a new outdoor refreshment area has been added to provide a unique alfresco dining experience to patrons.","Blk 79/79A, Circuit Road, Singapore 370079/371079"
1.382387558,103.8924032,,2022,0,,0,Buangkok Hawker Centre,,
1.443881817,103.7772032,20/21,15/9/1975,52,North,112,Marsiling Lane Blk 20/21,"Built in 1975, the hawker centre at Blk 20/21 Marsiling Road houses 52 cooked food stalls and 112 market stalls.  Upgraded in 2009.","Blk 20/21, Marsiling Lane, Singapore 730020/730021"
1.433538857,103.7797849,4,8/11/2017,70,North,0,Marsiling Mall Hawker Centre,"Built in 2017, and located close to the heart of Woodlands, Marsiling Mall Hawker Centre offers residents convenient access to a variety of good and affordable hawker food. This hawker centre is also situated adjacent to Woodlands Sports Centre, bringing hawker food to the doorstep of sports facility users.","Blk 4,Woodlands St 12,Singapore 738623"
1.280112235,103.8448279,1,1935,103,Central,0,Maxwell Food Centre (Kim Hua Market),"Maxwell Food Centre began its roots in 1935. One of the iconic hawker centres in Singapore, the food centre now consists of 103 cooked food stalls. Popular hawker fare such as Chicken Rice, Tapioca Kueh, Porridge, Desserts and more can be found here.","1, Kadayanallur Street, Singapore 069184"
1.293236221,103.8029039,159,12/10/1970,47,West,66,Mei Chin Road Blk 159 (Mei Chin Road Market),"Built in 1970 to serve the Mei Ling estate, the hawker centre at Blk 159 Mei Chin Road was upgraded in 2009 to improve circulation space and ventilation. Comprises 47 cooked food stalls and 66 market stalls.","Blk 159, Mei Chin Road, Singapore 140159"
1.339375964,103.775995,51,1975,84,West,95,Bukit Timah Market,"Located along Upper Bukit Timah Road, the two-storey hawker centre was built in 1975 and was upgraded in 2003. A popular hawker centre serving the dining and marketing needs of residents living around Toh Yi Drive. Well-known for the variety of hawker fare, the centre is usually packed with patrons during peak hours. Comprises 84 cooked food stalls and 94 market stalls.","51, Upper Bukit Timah Road, Singapore 588215"
1.285088258,103.8323488,30,,83,West,259,Tiong Bahru Market,"Located in one of the oldest and most charming neighbourhoods, Tiong Bahru Market was built in 1950 as a single-storey centre.  The centre merged with Blk 84 and 84A Lim Liak Street during the upgrading in 2006, and was converted into a three-storey building: market stalls on the ground floor, cooked food stalls on the second floor and a carpark on the third. It is the fourth largest hawker centre in Singapore with 259 market stalls and 83 cooked food stalls! Well-known for the many popular stalls within the centre.","30, Seng Poh Road, Singapore 168898"
1.338092686,103.8447316,127,11/3/1969,40,Central,108,Toa Payoh Lorong 1 Blk 127 (Toa Payoh West Market and Food Court),"Built in 1969, the two-storey hawker centre comprises 40 cooked food stalls and 108 market stalls. Well-known for hawker fare such as Chicken Rice, Hokkien Mee etc, the hawker centre serves both the dining and marketing needs of Toa Payoh residents.","Blk 127, Lorong 1 Toa Payoh, Singapore 310127"
1.334548165,103.8519991,74,9/9/1968,10,Central,80,Toa Payoh Lorong 4 Blk 74 (Toa Payoh Vista Market),"Built in 1968, the hawker centre at Blk 74 Lorong 4 Toa Payoh comprises 10 cooked food stalls and 80 market stalls. Located near to Toa Payoh central and HDB Hub.","Blk 74, Lorong 4 Toa Payoh, Singapore 310074"
1.338474752,103.8495135,93,19/7/1967,28,Central,32,Toa Payoh Lorong 4 Blk 93,"Built in 1967, the hawker centre at Blk 93 Lorong 4 Toa Payoh comprises 28 cooked food stalls and 32 market stalls. Originally a double-storey building, the centre was converted to a single-storey one after upgrading in 2009.","Blk 93, Lorong 4 Toa Payoh, Singapore 310093"
1.323445253,103.8854492,89,1/9/1967,41,East,92,Circuit Road Blk 89,"Built in 1967, the hawker centre at Blk 89 Circuit Road comprises 40 cooked food stalls and 93 market stalls. One of the three hawker centres serving the residents living in the vicinity of Circuit Road.","Blk 89, Circuit Road, Singapore 370089"
1.31326487,103.7645105,448,12/1/1980,51,West,105,Clementi Ave 3 Blk 448,"Located in the town centre of Clementi, the hawker centre at Blk 448 Clementi Ave 3 is within walking distance from Clementi MRT station and the bus interchange. Good food offerings and its strategic location make the centre popular with diners.","Blk 448, Clementi Ave 3, Singapore 120448"
1.299713305,103.7978755,1A/2A/3A,16/11/1981,40,West,0,Commonwealth Drive Blk 1A/2A/3A (Tanglin Halt Food Centre/Commonwealth Drive Food Centre),"Nestled within the established Tanglin Halt estate, the food centre was originally built in 1981. The three hexagonal blocks retain their unique shape after upgrading in 2009. A total of 40 cooked food stalls is housed within the centre.","Blk 1A/ 2A/ 3A, Commonwealth Drive, Singapore 140001/140002/140003"
1.333159248,103.9140539,630,30/6/1982,36,East,75,Bedok Reservoir Road Blk 630,"Located within walking distance from the Eunos Community Club, the centre is a convenient place which meets the dining and marketing needs of residents living at Bedok Reservoir Road. Upgraded in 2006, it houses 36 cooked food stalls and 75 market stalls.","Blk 630, Bedok Reservoir Road, Singapore 470630"
1.319216998,103.8630214,29,17/3/1971,88,Central,105,Bendemeer Road Blk 29 (Bendemeer Market and Food Centre),"Just a few minutes away from Boon Keng MRT station, the hawker centre is very popular with the nearby residents as well as the workers at Kallang Bahru Industrial Estate because of its location and affordable local cuisines.","Blk 29, Bendemeer Road, Singapore 330029"
1.315142051,103.8956095,13/14,30/7/1977,72,East,146,Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre),"Built in 1977, the hawker centre at Blk 13/14 Haig Road is easily visible from Changi Road. Comprising 72 cooked food stalls and 146 market stalls, its ideal location as well as the wide selection of affordable hawker fare have attracted many residents and working professionals around the vicinity.","Blk 13/14, Haig Road, Singapore 430013/430014"
1.28797544,103.8296268,22A/B,16/11/1969,30,Central,0,Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),"Built in 1969, the standalone hawker centre located in the Havelock area comprises 30 cooked food stalls. It was upgraded in 2007.","Blk 22A/B, Havelock Road, Singapore 161022/162022"
1.425017638,103.8447476,51,3/7/2017,45,Central,0,Yishun Park Hawker Centre,"Built in 2017, the hawker centre at Yishun Park consists of 45 cooked food stalls and allows patrons of all ages to enjoy affordable food in a pleasant dining environment.  The centre features natural ventilation, family-friendly features, such as child-friendly toilet facilities and family-friendly seating, and built-in tray-return facilities at accessible locations.","Blk 51, Yishun Avenue 11, Singapore 768867"
1.353862118,103.9397262,51,6/8/2016,42,East,0,Our Tampines Hub,"Built in 2016, the hawker centre at Our Tampines Hub (OTH) consists of 42 cooked food stalls and allows patrons of all ages to enjoy affordable food in a pleasant dining environment.  Located at the 1st storey of OTH, the naturally ventilated hawker centre is designed to be family-friendly with features such as child-friendly toilet facilities and family-friendly seating. It is also designed with built-in tray return facilities at accessible locations to allow patrons to return their trays with ease.  Being the first 24-hour hawker centre in Tampines, it provides residents with all-day affordable dining options.","Blk 51, Tampines Ave 4, Singapore 529684"
1.391592327,103.8770605,21,2020,0,,0,Fernvale Hawker Centre,,
1.408189969,103.9048057,,2021,0,,0,Punggol Town Hub Hawker Centre,,
1.355214571,103.7418258,,2024,0,,0,Bukit Batok Hawker Centre,,
1.449216606,103.8223992,,2020,0,,0,Bukit Canberra Hawker Centre,,
1.414566886,103.9082528,,2023,0,,0,Punggol Digital District Hawker Centre,,
1.396914176,103.8884896,339,2021,0,,0,Anchorvale Village Hawker Centre,,
1.28442485,103.8501646,50,2021,0,,0,Market Street Hawker Centre,,
1.387122263,103.7612629,,2021,0,,0,Bukit Panjang North Hawker Centre,,
1.288230555,103.8399459,1,21/1/1969,21,Central,0,Jalan Kukoh Blk 1 (Kukoh 21 Food Centre),"Built in 1969, Blk 1 Jalan Kukoh used to consist of both a market and food section. After upgrading in 2010, the centre was converted to a food centre with 21 cooked food stalls.","Blk 1, Jalan Kukoh, Singapore 161001"
1.297485671,103.8047152,38A,2020,0,,0,Dawson Hawker Centre,,
1.339796136,103.8720902,202C,2021,0,,0,Woodleigh Village Hawker Centre,,
1.275907525,103.7914027,121,1978,45,West,0,Pasir Panjang Food Centre,"Situated along Pasir Panjang Road and near to industrial estates, the food centre comprises 45 cooked food stalls and serves a variety of hawker fare including BBQ Seafood and Zi Char. Built in 1978.","121, Pasir Panjang Road, Singapore 118543"
1.302875481,103.8638832,505,1975,112,Central,111,Golden Mile Food Centre,"Home to lock-up stalls selling army stuff, Golden Mile Food Centre is a ""must go"" place if you are looking for affordable army / camping equipment. The food section located at the first and second levels definitely does not pale in comparison. It offers well-known local and international cuisines by 111 cooked food stalls. Fanciful food selection at great prices!","505, Beach Road, Singapore 199583"
1.34531247,103.7315797,347,17/10/1984,56,West,169,Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),"Located near to the PIE exit (Jurong Town Hall Road), the hawker centre at Blk 347 Jurong East Ave 1 is popular with residents living in the area. A wide variety of food and market produce is offered at the hawker centre by the 56 cooked food stalls and 169 market stalls. It was built in 1984 to cater to the dining and marketing needs of residents.","Blk 347, Jurong East Ave 1, Singapore 600347"
1.287858103,103.8184026,79,1/1/1969,0,West,122,Redhill Lane Blk 79 (Redhill Market),"Built in 1969, the standalone market offers a variety of fresh market produce to serve the needs of Redhill residents. The centre was upgraded in 2005 and comprises 122 market stalls.  Within walking distance from Redhill MRT.","Blk 79, Redhill Lane, Singapore 150079"
1.320356008,103.9554742,1,1971,32,East,0,Bedok Food Centre,"Located at the corner of Upper East Coast Road, Bedok Food Centre is a favourite haunt for residents in the vicinity and army personnel from nearby barracks. Upgraded in 2005, the fa?ade resembles that of an old Malay ""kampong"" house. Famous for hawker fare such as Hokkien Mee, Desserts, Malay Dishes and more, the hawker centre houses 32 cooked food stalls.","1, Bedok Road, Singapore 469572"
1.327062409,103.9332215,216,21/8/1979,82,East,114,Bedok North Street 1 Blk 216,"Built in 1979, the hawker centre at Blk 216 Bedok North Street 1 comprises 82 cooked food stalls and 114 market stalls. A stone's throw away from Bedok Town Centre.","Blk 216, Bedok North Street 1, Singapore 460216"
1.333246279,103.9306021,511,16/3/1979,42,East,83,Bedok North Street 3 Blk 511 (Kaki Bukit 511 Market and Food Centre),"Built in 1979, the hawker centre at Blk 511 Bedok North Street 3 comprises 42 cooked food stalls and 83 market stalls to serve both the dining and marketing needs of residents living in the Kaki Bukit area. Be pampered by the wide selection of hawker fare!  Crowded during dinner and supper hours.","Blk 511, Bedok North Street 3, Singapore 460511"
1.331781251,103.9248442,538,30/4/1979,42,East,134,Bedok North Street 3 Blk 538,"Built in 1979, the hawker centre at Blk 538 Bedok North Street 3 comprises 42 cooked food stalls and 134 market stalls. One of the popular hawker centres in the Bedok area.","Blk 538, Bedok North Street 3, Singapore 460538"
1.272715797,103.8221173,36,29/10/1975,32,West,103,Telok Blangah Rise Blk 36 (Telok Blangah Rise Market),"Located near the scenic Mount Faber Park, the hawker centre has been serving the dining and marketing needs of residents in the vicinity since the 1970s.","Blk 36, Telok Blangah Rise, Singapore 090036"
1.316728148,103.8982243,,3/7/2009,63,East,302,Geylang Serai Market,"One of the most popular hawker centres in Singapore, especially with the Malay community! The hawker centre was upgraded in 2009 and currently comprises 63 cooked food stalls and 302 market stalls. Its design, which was conceived after close consultations with grassroots and stallholders, is reminiscent of rural Malay architecture. It is the third biggest hawker centre in Singapore based on stall count.","1, Geylang Serai, Singapore 402001"
1.310996273,103.7882307,20,24/1/1977,72,West,158,Ghim Moh Road Blk 20,"Built in 1977, the hawker centre is famous for its wide spread of offerings such as Char Kway Teow, Chicken Rice, Soya Bean Drinks etc. 72 cooked food stalls and 158 market stalls at the hawker centre serve Ghim Moh  residents daily.","Blk 20, Ghim Moh Road, Singapore 270020"
1.340260835,103.8543953,210,27/8/1974,80,Central,77,Toa Payoh Lorong 8 Blk 210,"Built in 1974, this hawker centre houses 80 cooked food stalls and 77 market stalls. One of the largest hawker centres in the Toa Payoh vicinity.","Blk 210, Lorong 8 Toa Payoh, Singapore 310210"
